Kabupaten/Kota Se Jawa Timur,
Kabupaten Pacitan,7.91
Kabupaten Ponorogo,7.95
Kabupaten Trenggalek,8.09
Kabupaten Tulungagung,8.69
Kabupaten Blitar,8.01
Kabupaten Kediri,8.38
Kabupaten Malang,7.98
Kabupaten Lumajang,7.28
Kabupaten Jember,6.64
Kabupaten Banyuwangi,7.84
Kabupaten Bondowoso,6.54
Kabupaten Situbondo,7.03
Kabupaten Probolinggo,6.43
Kabupaten Pasuruan,7.47
Kabupaten Sidoarjo,10.94
Kabupaten Mojokerto,9.14
Kabupaten Jombang,8.88
Kabupaten Nganjuk,8.26
Kabupaten Madiun,8.21
Kabupaten Magetan,8.84
Kabupaten Ngawi,7.88
Kabupaten Bojonegoro,7.78
Kabupaten Tuban,7.54
Kabupaten Lamongan,8.73
Kabupaten Gresik,10.13
Kabupaten Bangkalan,6.15
Kabupaten Sampang,5.19
Kabupaten Pamekasan,7.29
Kabupaten Sumenep,6.24
Kota Kediri,11.09
Kota Blitar,10.83
Kota Malang,11.36
Kota Probolinggo,9.73
Kota Pasuruan,9.98
Kota Mojokerto,11.44
Kota Madiun,12.12
Kota Surabaya,11.15
Kota Batu,9.95
Jawa Timur,8.39
