Kabupaten/Kota Se Jawa Timur,
Kabupaten Pacitan,1.4
Kabupaten Ponorogo,3.85
Kabupaten Trenggalek,3.86
Kabupaten Tulungagung,4.03
Kabupaten Blitar,4.49
Kabupaten Kediri,4.71
Kabupaten Malang,5
Kabupaten Lumajang,3.08
Kabupaten Jember,3.07
Kabupaten Banyuwangi,3.94
Kabupaten Bondowoso,2.55
Kabupaten Situbondo,3.02
Kabupaten Probolinggo,2.92
Kabupaten Pasuruan,4.22
Kabupaten Sidoarjo,5.75
Kabupaten Mojokerto,3.49
Kabupaten Jombang,3.28
Kabupaten Nganjuk,3.84
Kabupaten Madiun,3.22
Kabupaten Magetan,3.26
Kabupaten Ngawi,2.26
Kabupaten Bojonegoro,3.9
Kabupaten Tuban,3.44
Kabupaten Lamongan,4.29
Kabupaten Gresik,5.47
Kabupaten Bangkalan,5.31
Kabupaten Sampang,2.44
Kabupaten Pamekasan,1.33
Kabupaten Sumenep,1.64
Kota Kediri,3.76
Kota Blitar,4.28
Kota Malang,5.69
Kota Probolinggo,4.93
Kota Pasuruan,4.59
Kota Mojokerto,4.66
Kota Madiun,4.29
Kota Surabaya,4.84
Kota Batu,3.53
Jawa Timur,3.88
