wilayah,ipm,persentase_miskin,rls,tpt,pdrb_per_kapita,log_pdrb_per_kapita,total_faskes,persentase_jalan_memenuhi,klaster,label_klaster
Bangkalan,68.15,18.25,6.15,5.31,27588.0,10.225136174551182,1208,0.0,0,Kategori 1: PDRB Rendah & TPT Tinggi
Banyuwangi,75.17,6.13,7.84,3.94,67081.0,11.113656123399075,2454,49.87423260572988,1,Kategori 2: PDRB Tinggi & TPT Rendah
Blitar,74.43,7.57,8.01,4.49,40200.0,10.601622274607113,1444,54.3028511821975,0,Kategori 1: PDRB Rendah & TPT Tinggi
Bojonegoro,73.74,11.49,7.78,3.9,78894.0,11.275860458314973,1736,50.5399012751954,1,Kategori 2: PDRB Tinggi & TPT Rendah
Bondowoso,71.72,12.2,6.54,2.55,35872.0,10.487712325871886,1153,54.16565090199903,3,Kategori 4: PDRB Rendah & TPT Rendah
Gresik,79.69,9.95,10.13,5.47,146668.0,11.895926808094103,1674,66.77524429967427,2,Kategori 3: PDRB Tinggi & TPT Tinggi
Jember,71.57,8.67,6.64,3.07,42357.0,10.653888975677635,3065,63.97515527950311,3,Kategori 4: PDRB Rendah & TPT Rendah
Jombang,76.37,8.36,8.88,3.28,42359.0,10.653936192260108,1683,67.56512868801005,3,Kategori 4: PDRB Rendah & TPT Rendah
Kediri,76.09,9.81,8.38,4.71,34496.0,10.448598654268668,1826,58.51177730192719,0,Kategori 1: PDRB Rendah & TPT Tinggi
Kota Batu,80.35,2.86,9.95,3.53,105197.0,11.56359006176886,217,48.73243317718379,1,Kategori 2: PDRB Tinggi & TPT Rendah
Kota Blitar,82.03,6.6,10.83,4.28,63146.0,11.053204784521506,141,66.4448669201521,0,Kategori 1: PDRB Rendah & TPT Tinggi
Kota Kediri,82.71,6.04,11.09,3.76,581558.0,13.273465988013381,372,40.79382579933848,2,Kategori 3: PDRB Tinggi & TPT Tinggi
Kota Madiun,85.12,3.89,12.12,4.29,98078.0,11.493518359445,316,0.0,1,Kategori 2: PDRB Tinggi & TPT Rendah
Kota Malang,85.55,3.85,11.36,5.69,122919.0,11.71928088083873,804,43.51289833080425,2,Kategori 3: PDRB Tinggi & TPT Tinggi
Kota Mojokerto,82.35,5.05,11.44,4.66,66235.0,11.100964303118362,212,0.0,0,Kategori 1: PDRB Rendah & TPT Tinggi
Kota Pasuruan,79.52,6.18,9.98,4.59,54006.0,10.89685043048514,314,51.5625,0,Kategori 1: PDRB Rendah & TPT Tinggi
Kota Probolinggo,78.5,5.69,9.73,4.93,65483.0,11.089545845951761,256,0.0,0,Kategori 1: PDRB Rendah & TPT Tinggi
Kota Surabaya,85.65,3.56,11.15,4.84,283306.0,12.554282864556567,2700,41.71452009844135,2,Kategori 3: PDRB Tinggi & TPT Tinggi
Lamongan,76.81,12.03,8.73,4.29,40469.0,10.608291527903145,1869,66.26697663036829,0,Kategori 1: PDRB Rendah & TPT Tinggi
Lumajang,71.02,8.6,7.28,3.08,40349.0,10.605321890243529,1378,52.627970749542975,3,Kategori 4: PDRB Rendah & TPT Rendah
Madiun,75.47,10.4,8.21,3.22,36116.0,10.49449125942737,917,54.00505902192243,3,Kategori 4: PDRB Rendah & TPT Rendah
Magetan,77.58,9.14,8.84,3.26,38264.0,10.552264785360133,949,69.15286624203821,3,Kategori 4: PDRB Rendah & TPT Rendah
Malang,74.45,8.78,7.98,5.0,54521.0,10.906341227535142,3068,51.13504285921836,0,Kategori 1: PDRB Rendah & TPT Tinggi
Mojokerto,77.46,8.79,9.14,3.49,105452.0,11.566011152061817,1383,64.05866302864939,1,Kategori 2: PDRB Tinggi & TPT Rendah
Nganjuk,75.89,10.06,8.26,3.84,34314.0,10.443308713143372,1355,63.18709677419355,0,Kategori 1: PDRB Rendah & TPT Tinggi
Ngawi,74.43,13.62,7.88,2.26,31279.0,10.350702224838756,1275,37.164073550212166,3,Kategori 4: PDRB Rendah & TPT Rendah
Pacitan,72.26,12.97,7.91,1.4,38215.0,10.550983387676984,906,39.62374500438639,3,Kategori 4: PDRB Rendah & TPT Rendah
Pamekasan,71.64,12.77,7.29,1.33,27206.0,10.211192816193375,1057,47.5889255592226,3,Kategori 4: PDRB Rendah & TPT Rendah
Pasuruan,73.02,8.21,7.47,4.22,131055.0,11.783372361400305,2048,57.24269377382465,1,Kategori 2: PDRB Tinggi & TPT Rendah
Ponorogo,74.65,8.86,7.95,3.85,30007.0,10.309185966759637,1229,73.33944113605132,0,Kategori 1: PDRB Rendah & TPT Tinggi
Probolinggo,71.65,16.31,6.43,2.92,41409.0,10.631253527491689,1411,46.94805194805195,3,Kategori 4: PDRB Rendah & TPT Rendah
Sampang,67.23,20.61,5.19,2.44,25531.0,10.147648679072807,1101,49.19199072881793,3,Kategori 4: PDRB Rendah & TPT Rendah
Sidoarjo,83.35,4.4,10.94,5.75,145529.0,11.88813065844832,2131,51.79183813443073,2,Kategori 3: PDRB Tinggi & TPT Tinggi
Situbondo,71.87,11.17,7.03,3.02,41143.0,10.624809082278963,994,52.67332549941246,3,Kategori 4: PDRB Rendah & TPT Rendah
Sumenep,70.54,17.02,6.24,1.64,42090.0,10.647565461764616,1550,41.09018471568272,3,Kategori 4: PDRB Rendah & TPT Rendah
Trenggalek,73.39,10.29,8.09,3.86,35110.0,10.466241269162477,910,51.41666666666666,0,Kategori 1: PDRB Rendah & TPT Tinggi
Tuban,73.15,14.13,7.54,3.44,75150.0,11.227241395181121,1493,64.02127659574468,1,Kategori 2: PDRB Tinggi & TPT Rendah
Tulungagung,75.88,5.96,8.69,4.03,49485.0,10.80942487233079,1336,49.21548117154811,0,Kategori 1: PDRB Rendah & TPT Tinggi
