id,id_index,kode_provinsi,nama_provinsi,periode_update,kab_kota,nama_ruas_jalan,kategori,jumlah,satuan,tahun
427,4261,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,BANGUNAN PELENGKAP,0.0,KM,2025
427,4262,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,KELANDAIAN MEMENUHI,0.0,KM,2025
427,4263,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
427,4264,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,LEBAR BAHU KANAN MEMENUHI,44.9,KM,2025
427,4265,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,LEBAR BAHU KANAN TIDAK MEMENUHI,0.0,KM,2025
427,4266,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,LEBAR BAHU KIRI MEMENUHI,44.9,KM,2025
427,4267,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
427,4268,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,LEBAR JALAN MEMENUHI,44.9,KM,2025
427,4269,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,LEBAR JALAN TIDAK MEMENUHI,0.0,KM,2025
427,4270,35,JAWA TIMUR,2025,KABUPATEN PACITAN,BTS. KAB. PONOROGO - BTS. KOTA   PACITAN,PANJANG JALAN,44.9,KM,2025
428,4271,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,BANGUNAN PELENGKAP,0.0,KM,2025
428,4272,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,KELANDAIAN MEMENUHI,0.0,KM,2025
428,4273,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
428,4274,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,LEBAR BAHU KANAN MEMENUHI,0.0,KM,2025
428,4275,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,LEBAR BAHU KANAN TIDAK MEMENUHI,0.25,KM,2025
428,4276,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,LEBAR BAHU KIRI MEMENUHI,0.0,KM,2025
428,4277,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,LEBAR BAHU KIRI TIDAK MEMENUHI,2.53,KM,2025
428,4278,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,LEBAR JALAN MEMENUHI,2.43,KM,2025
428,4279,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,LEBAR JALAN TIDAK MEMENUHI,0.1,KM,2025
428,4280,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. TENTARA PELAJAR,PANJANG JALAN,2.53,KM,2025
429,4281,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,BANGUNAN PELENGKAP,0.0,KM,2025
429,4282,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,KELANDAIAN MEMENUHI,0.0,KM,2025
429,4283,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
429,4284,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,LEBAR BAHU KANAN MEMENUHI,0.0,KM,2025
429,4285,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,LEBAR BAHU KANAN TIDAK MEMENUHI,0.59,KM,2025
429,4286,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,LEBAR BAHU KIRI MEMENUHI,0.0,KM,2025
429,4287,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,LEBAR BAHU KIRI TIDAK MEMENUHI,0.59,KM,2025
429,4288,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,LEBAR JALAN MEMENUHI,0.59,KM,2025
429,4289,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,LEBAR JALAN TIDAK MEMENUHI,0.0,KM,2025
429,4290,35,JAWA TIMUR,2025,KABUPATEN PACITAN,JLN. BASUKI RACMAD,PANJANG JALAN,0.59,KM,2025
